symbol,Business Content
ACXP,細菌によって引き起こされる感染症に対する抗生物質の開発に従事する米国のバイオ医薬品会社。
ADBE,世界最大のグラフィックソフトメーカー
ADES,石炭火力発電、工業用ボイラーとセメント業界の顧客に排出ガスソリューションを提供する持株会社。
ADGI,臨床段階のバイオ医薬品企業。
ADI,アナログおよびデジタル信号処理に使用するICの設計、製造、販売
ADIL,バイオ医薬品企業。臨床段階で、アルコール依存症などアルコールの使用障害に対する治療薬の開発に従事する。
ADM,2大穀物メジャーの1社。農産物加工、商社の世界的大手
ADMA,米国で事業を展開しているバイオ医薬品メーカー。
ADMP,ヘルスケア業界に製品を提供しているバイオ医薬品会社。
ADMS,慢性神経障害の罹患者の日常生活を管理するための医薬品の開発に従事している会社。
ADN,水素などの再生可能燃料を電気に変換する燃料電池を製造している企業
ADNT,自動車の座席関連製品の製造、流通を行う。
ADP,業務委託ソリューションを世界的に提供
ADPT,適応免疫システムの生物学を使用して疾患の診断と治療を開発するバイオテクノロジー会社。
ADS,データ処理サービス会社
ADSK,PC ソフトウエアやマルチメディアツールを提供
ADT,家庭用および業務用のセキュリティカメラ、リモートアクセス、ワイヤレスホームセキュリティシステム等を提供している会社。
ADTN,高速デジタル送信機器メーカー。
ADUS,家庭内で提供されている個人ケアサービスの提供業者。
ADV,消費財メーカー、小売業者向けにビジネスソリューションを提供。
ADVM,希少疾患の患者向けの新薬発見・開発を手掛けるバイオテクノロジー会社。遺伝子治療法を提供している会社。
ADXS,がん治療薬のワクチンの開発を手掛けるバイオテクノロジー会社
AE,油田とガス田を探鉱・開発し、タンクローリーで液体化学品を輸送する、原油と天然ガスの購入・供給・販売会社。
AEE,公益事業持株会社
AEHL,住宅や商業ビル等に使用されるセラミックタイルのメーカー
AEHR,DRAM及びその他メモリー装置の検定コストの削減等のために設計されたシステムの製造・販売に従事する企業。
AEI,子会社を通じて不動産開発、デジタルトランスフォーメーション技術及びバイオヘルス事業に従事。
AEIS,精密機器メーカー。
AEL,年金・生命保険の引受、販売、管理を展開している保険会社。
AEM,カナダの金鉱会社
AEMD,がんや感染症疾患治療用ろ過装置の開発、製造に従事する医療機器メーカー。
AEO,カジュアルアパレルの製造・小売に従事
AEP,公益事業持株会社
AER,国際的な航空機リースなどのサービスを提供している会社
AERI,緑内障およびその他の眼病治療用の医薬品の発見、開発、販売に従事する医薬品メーカー。
AES,電力会社
AESE,グローバルなeスポーツエンターテイメント会社。
AEVA,自動車のセンシングおよび知覚システムに取り組んでいる企業
AEY,電子機器会社
AEYE,インターネット・コンテンツで使用する音声で操作する技術を開発するソフトウエア会社
AEZS,腫瘍や内分泌疾患の治療法を開発しているバイオ医薬品メーカー
AFBI,米国の金融持株会社
AFG,課税繰延年金保険、生命保険、補完的医療保険などの商品を販売する障害保険会社。
AFI,住宅・ 商業・公共施設建設用の弾性・木質床材製品を設計、製造、販売する床材メーカー。
AFIB,不整脈の診断と治療法を開発
AFL,医療保険販売
AFMD,バイオ医薬品会社
AFRM,次世代のデジタルおよびモバイルファーストコマースのプラットフォームを構築・提供している会社
AFYA,ブラジルの医学教育グループ
AG,メキシコにおいて銀プロパティの取得・探鉱・開発、及び銀の生産に従事している会社
AGCO,世界的な農業機械メーカー
AGEN,脳腫瘍、腎臓がんなどの治療用ワクチンの研究に従事するワクチン開発会社。
AGFS,新鮮な食材の保存と廃棄物削減ソリューションを提供する企業。
AGFY,栽培ソリューションプロバイダ
AGI,鉱山の探査・開発などに従事している会社
AGIO,バイオ医薬品会社
AGL,医療情報システムプラットフォームを提供している会社
AGLE,先天性の代謝疾患やがん治療のための治療用酵素の開発に注力する米国のバイオテクノロジー企業。
AGM,モーゲージ流通市場を提供する米国の会社。
AGMH,中国のIT・ソフトウェア持株会社
AGO,子会社経営を通して金融保証商品を提供しているバミューダ籍の持株会社
AGR,米国の総合エネルギー・公益事業会社。クリーンエネルギーを提供する。また、発電・天然ガス貯蔵施設の保有・運営も手掛ける。
AGRI,カナダを拠点とする農業に焦点を当てたテクノロジー会社。
AGRO,南米の農業会社。アルゼンチン、ブラジル、ウルグアイで活動を展開
AGRX,女性のヘルスケア製品に特化した米国の医薬品開発会社。
AGS,スロットマシーンゲームや携帯端末向けソーシャルゲームのコンテンツ開発などを総合的に取り扱うゲーム開発会社。
AGTC,新しい治療法の研究開発に従事するバイオ医薬品会社。
AGTI,米国の医療業界に医療技術管理およびサービスソリューションを提供
AGX,エネルギー施設の設計・建設会社。
AGYS,米国の企業向けソフトウェアおよびサービス提供会社
AHCO,米国の在宅医療機器、在宅医療用品および関連サービスを提供。
AHPI,呼吸器関連製品を製造している米国企業
AI,エンタープライズAI企業
AIG,生損保・金融サービス大手
AIMC,米国の動力伝導装置メーカー。
AIN,繊維・材料加工会社。
AIR,航空機関連サービス企業。
AIRG,住居や事業所などにおいてワイヤレス環境を提供するアンテナの開発・製造・販売に従事するワイヤレス・テクノロジー企業。
AIRT,宅急便業界に対して夜間航空貨物サービス、空港における地上業務支援設備の提供を手掛ける航空貨物サービス会社。
AIT,工業用ゴム製品や直動装置、安全装置などを取り扱う工業製品メーカー。
AIZ,保険会社
AJG,保険仲介やリスク管理サービスを提供
AJRD,防衛・宇宙アプリケーション向け推進システム、ロケットやミサイルなどの開発・製造に従事する航空宇宙・防衛製品メーカー。
AKA,ミレニアル世代とZ世代向けのファッションブランドを運営。
AKAM,大手コンテンツ配信企業
AKBA,腎疾患患者向けの低酸素誘導性因子（HIF）生物学に基づく新規治療薬を開発、販売する医薬品メーカー。
AKRO,NASH（非アルコール性脂肪肝炎）および他の代謝性疾患のための治療法を開発しているバイオテクノロジー会社
AKTS,米国の高周波デバイスメーカー
AKU,画像サービス診断サービスのプロバイダー。
AKUS,単一遺伝子型難聴を対象とする遺伝子治療プラットフォームを開発
AL,航空機のリース事業を展開
ALB,特殊化学品メーカー
ALBO,米国のバイオ医薬品メーカー
ALC,アイケア機器会社
ALCO,かんきつ類栽培、牧畜、サトウキビと芝の栽培、木材などさまざまな事業を手掛けるアグリビジネス企業。
ALDX,ドライアイ疾患、その他の目の炎症の治療に関する研究も手掛ける免疫介在性疾患治療薬の研究・開発会社。
ALE,発電・送電・配電のほか、個人・法人向けに電力販売も手掛けるエネルギー会社。
ALEC,米国のバイオ医薬品会社
ALF,DOOH広告市場にソリューションを提供。
ALG,工業、農業のエンドユーザーにトラクター取り付けタイプの大型芝刈り機 や野菜栽培用機械・交換部品等の製品を提供している｡
ALGM,半導体関連企業
ALGN,歯列矯正システムの設計、製造、販売
ALGS,バイオテクノロジーを利用した治療法を開発する企業
ALGT,小都市から世界的な名所への旅行サービスを提供
ALHC,高齢者にヘルスケアプラットフォームを提供する企業
ALIM,処方目薬の研究、開発、商業化に従事するバイオ医薬品会社。
ALIT,金融テクノロジーまたはビジネスプロセスアウトソーシングにおける見込み対象ビジネスの特定に重点を置くブランクチェックカンパニー
ALK,子会社を通して、複数の都市に旅客機サービスを提供する航空持株会社
ALKS,薬剤の送達に関する研究開発を行うアイルランドの会社
ALKT,米国のソフトウェア企業。金融機関向けのクラウドベースのバンキングソリューションを開発する。
ALL,米国およびカナダで子会社を通じて、財産保険、賠償責任保険、その他の保険を提供
ALLE,アイルランドの機械・電子セキュリティー製品会社
ALLK,臨床段階で、アレルギー性疾患、炎症性疾患および増殖性疾患の治療用抗体の開発に従事するバイオ医薬品企業。
ALLO,米国のバイオテクノロジー企業。臨床試験段階のがん免疫細胞療法「AlloCAR T」の開発に従事している。
ALLY,自動車金融サービス会社
ALNY,リボ核酸干渉法に基づく治療薬を開発する生物医薬品会社
ALOT,米国の特殊プリンタと分析システム等を行う製品識別サービス会社
ALPN,米国の臨床段階の製薬会社。
ALRM,ソフトウェア会社。
ALRN,臨床段階で、治療用ペプチド薬品の開発・商品化に従事するバイオ医薬品企業。
ALRS,米国の金融持株会社
ALSN,自動車用の変速機メーカー
ALT,臨床段階の免疫治療バイオテクノロジー会社。
ALTG,中古の産業用フォークリフトや運搬機器のレンタルサービスを行う米国の企業
ALTM,石油・ガスの採集・処理施設を所有する米国の企業
ALTO,低炭素エタノールを製造･販売する化学品メーカー
ALTR,シミュレーション技術とサービスを提供する会社。同社は、製品エンジニアリング、工業デザイン、技術アプリケーション等を提供している。
ALV,自動車メーカー向け自動車安全装置の設計・製造に従事している企業｡
ALVR,T細胞を利用したVST療法により、ウィルス性疾患の治療および予防を目指す
ALXO,米国のバイオテクノロジー企業
ALZN,神経変性疾患および精神障害の治療用製品の開発に焦点を当てる前臨床段階のバイオ医薬品企業。
AM,ミッドストリームエネルギー資産を保有、運営、開発しているエネルギー会社。
AMAL,個人、中小企業、商業顧客に包括的な金融サービスを提供している。
AMAM,臨床段階のバイオ製剤会社。
AMAT,半導体製造装置の最大手
AMBA,ハイビジョン映象の圧縮・処理用半導体メーカー
AMBC,民間・公共機関向けに金融保証やその他金融関連サービスを展開。
AMC,世界各地で映画館を運営し、演劇公開、映画上映、食品販売、オンラインチケット販売、その他関連サービスを提供する。
AMCR,世界的なプラスチックパッケージ会社
AMCX,ケーブルチャンネルの制作・管理会社
AMD,半導体（マイクロプロセッサー）大手
AME,電動モーター・電子機器メーカー
AMED,在宅看護、在宅輸液療法（HIT）、外来手術センターなどのサービスを提供する代替サイト・ヘルスケア・サービス会社｡
AMEH,米国のヘルスケア企業
AMG,資産管理持株会社
AMGN,大手バイオ医薬品会社
AMK,子会社を通じて、ファイナンシャルアドバイザーや金融ブローカー、投資家向けにオンライン資産管理ポータル・アプリの提供を行っている会社。
AMKR,半導体のパッケージングおよびテストサービスを提供
AMN,看護師や提携医療従事者を全米の病院・医療施設に短期派遣するヘルスケア関連の人材派遣会社。
AMNB,個人・企業に対し各商業銀行業務を提供している。
AMOT,世界各地の顧客に精密および特殊動作制御部品およびシステムを提供する動作制御システムメーカー。
AMP,投資顧問会社。元アメリカンエキスプレスの投資顧問部門
AMPE,代謝障害、眼病、腎疾患、炎症、および中枢神経系疾患の治療に関するリサーチ を手掛ける医薬品の研究開発会社。
AMPG,マイクロ波コンポーネントベースの低ノイズアンプを設計、開発、製造している通信機器メーカー
AMPH,ジェネリックおよび専売注射剤・吸入剤を開発、製造する製薬会社。
AMPL,ユーザーの様々な行動を分析するモバイルアナリティクスを提供。
AMR,発電用の原料炭および一般炭を供給している石炭採掘サービス会社。
AMRC,総合電力エネルギー会社。
AMRK,金、銀、プラチナ、およびパラジウムを通貨、延べ棒、薄板、および粒子の形状で販売
AMRS,世界の特殊化学および輸送燃料市場に石油を原料とする製品に代わる製品を提供する再生可能製品メーカー。
AMRX,米国の製薬会社。ジェネリック医薬品の開発、製造、販売、流通を中心に行うほか、中枢神経系障害の治療のため自社ブランド医薬品の開発を手掛ける。
AMSC,風力発電や送配電ソリューションを提供する米国の発電タービン・メーカー。
AMSF,石油・ガス、海運など危険を伴う業界の中小企業を中心に労災保険を提供する保険会社。
AMST,大学等の学習プログラム向上のためのクラウドプラットフォームを提供する企業
AMSWA,ソフトウエア・プロバイダー。
AMTB,米国の銀行持株会社
AMTI,米国のバイオ医薬品企業
AMTX,燃料や化学製品の生産、従来の石油ベース製品に代わる技術の取得・開発・商業化を行うバイオテクノロジー会社。
AMWD,住宅建築・改築市場向けに台所キャビネットと洗面化粧台を製造、販売する米国の台所・浴室キャビネット製造会社。
AMWL,インターネットを介し患者の自宅や職場に遠隔医療を提供する企業
AMYT,幼児向け医薬品製造会社。
AMZN,小売業、インターネット通販会社
AN,自動車販売チェーン
ANAB,主に米国で臨床段階のバイオテクノロジー企業として営業を展開しています。癌免疫療法および炎症のための抗体を製造および販売しています。
ANAT,変額生命保険や、定額年金、変額年金、株価指数連動型年金などを取扱う保険会社。
ANDE,農業に従事する多角経営の会社
ANEB,臨床段階のバイオテクノロジー会社
ANET,クラウド・ネットワーキング・ソリューションを提供する企業
ANF,専門小売店
ANGI,インターネットによる情報・コンテンツ提供会社。有料評価サイト｢Angies List｣を運営する。
ANGN,急性・慢性の臓器損傷を治療するための新しい治療薬を発見・開発しているバイオ医薬品企業
ANGO,末梢血管疾患の治療や手術に使用される医療機器の開発、製造、販売を行う米国の医療機器メーカー。
ANIK,治療疼痛管理ソリューションの開発などをしている総合的な整形外科用医薬品メーカー。
ANIP,ブランド薬およびジェネリック処方薬の開発・生産・販売を手掛ける総合医薬品メーカー。
ANIX,情報処理分野などの最先端技術へ資金提供、開発、取得、ライセンスに従事している会社
ANNX,脳および目の補体介在性疾患に対する新規治療薬を開発
ANSS,設計分析や最適化ソリューションのソフトウェアを提供
ANTM,ヘルス・ベネフィット給付会社
ANVS,アルツハイマー病などの治療のための研究を行う米国の企業
ANY,ソフトウェア開発事業に従事。
AON,イギリスの保険サービス持株会社
AOS,米国の住宅・商業用温水機器と水質処理製品のメーカー
AOSL,バミューダ籍の電力半導体開発業者
AOUT,米国のアウトドア用品メーカー
AP,鉄鋼・アルミ金属製造業向けに硬化鋼ロールの鍛造と生成を行うポンプ製造会社。
APA,独立系エネルギー会社
APAM,米国の独立系投資運用会社
APD,工業用ガスおよび関連処理装置メーカー
APDN,北米と欧州で、DNAタグを利用した偽造防止技術を供給するDNAセキュリティーソリューション会社。
APEI,軍事、公共サービス、経営管理などについての高等教育をオンラインで提供する米国の教育サービス会社。
APEN,減量ソリューションの腹腔鏡下調整胃バンディング術を提供する。世界各地で製品を販売する医療機器の設計・製造会社。
APG,建物や生活環境の安全対策に関するサービスを提供
APH,コネクターメーカー
APLS,臨床段階のバイオ医薬品会社。
APLT,米国の主に糖尿病性心筋症や心臓に関わる研究等のバイオ医薬品会社
APOG,付加価値付きのガラス製品・サービスを提供する米国企業。
APP,アプリビジネスの成長支援プラットフォームを手掛ける会社
APPF,クラウドベースの不動産管理ソフトウエアを提供するソフトウエア会社。
APPH,米国のアグリテック企業。屋内農場の開発と運営に取り組む。
APPN,アプリケーションの開発を可能とするサービスを提供するロー・コード・ソフトウェア開発プラットフォームを提供する会社
APPS,モバイルコンテンツソリューションを提供する米国の会社。
APR,統合在宅医療機器及び関連サービスを提供。
APRE,米国のバイオ医薬品企業
APRN,子会社を通じて、食事を作るためのレシピや食事キット配送サービスを提供している持株会社
APT,米国を中心に使い捨て防護用アパレル、備蓄品、感染防止用製品の開発、製造、販売に従事している会社
APTO,カナダのバイオ医薬品企業
APTV,イギリスの自動車部品会社
APTX,脳や神経系疾患の治療に対する独自の合成小分子の開発・商業化を行うバイオ医薬品企業
APVO,がんや血液疾患の治療法を提供するバイオ医薬品企業
APYX,米国の医療機器メーカー
AQB,特定のプロテインの商業化に関する調査・開発を行うバイオ化学企業
AQMS,米国の鉛リサイクル会社
AQN,水力発電、風力発電、太陽熱発電施設等の運営と子会社を通じた天然ガス・電力等の供給をしている会社
AQST,米国の特殊医薬品企業
AQUA,総合水処理エンジニアリング企業の大手。
AR,原油と天然ガスの探鉱、開発、生産に従事している石油・ガス会社。
ARAV,内分泌系の病気の治療に焦点を当てたバイオ医薬品会社
ARAY,放射線システムの開発、腫瘍治療ソリューション提供をする医療機器メーカー。
ARCB,自動車輸送や複合一貫輸送業などに出資する多角的持株会社。
ARCH,低硫黄質軟炭の採掘・精製・販売会社。
ARCO,南米のマクドナルドフランチャイズを運営するアルゼンチンの会社
ARCT,リボ核酸（RNA）医薬品会社。
ARD,ガラス及び金属製の容器の製造・販売を行っているルクセンブルクの容器メーカー
ARDS,米国のバイオ医薬品企業
ARDX,バイオ医薬品会社
AREC,炭鉱および石炭処理事業に従事している企業
ARES,資産管理会社。
ARGO,子会社を通じて、損害保険および再保険商品を提供しているバミューダ籍の保険持ち株会社。
ARIS,水の処理とリサイクルのためのフルサイクルソリューションを提供。
ARKO,米国のコンビニエンスストア運営会社。
ARKR,米国で事業を展開しているレストラン運営会社。
ARL,米国の不動産投資会社
ARLO,IT企業。セキュリティーカメラなど各種デバイスを接続するクラウドソリューションを提供する。
ARMK,食品・施設管理サービス会社。
ARMP,疾患予防･治療薬の開発・商品化を手掛けるバイオテクノロジー企業。
ARNA,Gタンパク質共役型受容体を標的とした薬品の発見・開発・商品化に従事
ARNC,航空機及び自動車用アルミ部品等の製造会社
AROC,天然ガス圧縮の請負サービス会社。
AROW,ニューヨーク州に２行の国家特許銀行を所有している米国の銀行持株会社
ARQT,バイオ医薬品企業
ARRY,太陽光電池パネルを操作する機器を製造している会社
ARTNA,公益事業の顧客向けに、公的・私的防火用水を含む水の配給及び販売をしている会社
ARTW,農業機械メーカー。農業機械の製造、販売に従事する。
ARVL,商用電気自動車のバンとバスの生産に焦点を合わせるブランクチェックカンパニー。
ARVN,病気を引き起こすタンパク質を分解するための治療法の発見、開発、および商業化に従事している。
ARW,電子部品・コンピューター製品を販売
ARWR,遺伝子の抑制による難病治療向け医薬品を開発しているバイオテクノロジー会社。
ASAN,作業管理プラットフォームを提供しているソフトウェア会社
ASB,米国中西部地域の銀行
ASC,石油製品と化学物質の国産石油会社等への船舶輸送をケミカルタンカーで提供。
ASGN,人材派遣会社。
ASH,世界的な特殊化学品を取扱う子会社を傘下に持つ持株会社
ASIX,主に「ナイロン6」樹脂製造プロセスの一部として製造された多様な他の製品を販売している会社。
ASLE,中古商用機、エンジン、部品のアフターマーケット・プロバイダー
ASM,金、銀の生産と販売などを行う企業
ASMB,特殊医薬品企業
ASPN,エネルギーインフラおよび建築資材市場で使用される断熱材を提供
ASPS,ルクセンブルグの不動産関連サービス会社
ASPU,オンライン高等教育サービスの提供に従事している企業
ASRT,希少疾病用医薬品および治療用ソリューションを開発、販売している医薬品メーカー。
ASTC,航空防衛製品メーカー。技術革新の開発および製品化に従事。
ASTE,道路建設および関連建設工事で使用される機器および部品の設計・立案・製造・マーケティングをしている会社
ASTR,宇宙船やロケットの設計・製造を行う宇宙サービス会社。
ASTS,携帯電話向けに宇宙基地のブロードバンド携帯電話ネットワークを提供。
ASUR,米国のソフトウエア会社
ASX,集積回路（IC）サービス、電子製造サービス、不動産レンタル事業の3種類のサービスを提供。
ASXC,手術用ロボットシステムの商業化と開発に特化している医療機器メーカー。
ASYS,熱加工処理、シリコンウェハー製造機器や、太陽電池、LED、半導体の部品となる消耗品の製造をしている会社
ATAI,臨床段階のバイオ医薬品企業
ATC,メッキソリューションの世界的な大手プロバイダー
ATCO,チャーター船の保有およびコンテナ船の管理をしている独立系保有会社
ATCX,米国のインフラストラクチャエンジニアリング、テスト、検査、プログラム管理会社
ATEC,医療機器持株会社
ATEN,コンピューター・ネットワーク製品とセキュリティー・ソリューションの提供会社
ATER,子会社を通じ、データおよび人工知能を活用した独自技術により消費者の要求を満たす製品を開発
ATEX,主に人事・労務・雇用管理にモバイル・ソリューションを提供している米国のネットワーク・ソフトウエア企業。
ATGE,大学やアカデミーを運営している企業
ATH,バミューダ籍の保険持株会社
ATHA,アルツハイマー病やパーキンソン病などの神経変性疾患の治療薬を開発
ATHX,再生医療の分野を主とするバイオテクノロジー会社。
ATI,特殊金属メーカー
ATIP,外来の理学療法サービスを提供するアドベントインターナショナルのポートフォリオ企業。
ATKR,電線に関連する製品の製造。
ATLC,子会社を通じて、貸主にローン商品・サービスの申込みに対応する金融技術ソリューションを提供
ATLO,2つの全国銀行及び3つの連邦認可銀行により構成される5つの銀行子会社の持株会社
ATNF,炎症の解決に向けた研究に注力する研究開発会社。
ATNI,北米、バミューダとカリブ海地域において無線･有線電気通信業務を提供している企業
ATNM,バイオ医薬品会社
ATNX,がん治療向け新治療法の発見、開発、商業化に従事するバイオ医薬品会社。
ATO,公益企業に天然ガスを供給している会社。
ATOM,半導体関連企業
ATOS,前癌病変の治療の研究・開発をしている米国のヘルスケア企業
ATR,ポンプ、注出口付き蓋ぶた、エアゾールバルブの設計、製造、販売に従事している企業。
ATRA,ヘルスケアサービス会社
ATRC,医療機器会社
ATRI,主に医療用アプリケーション向けの製品を開発・製造している企業
ATRO,航空機器メーカー。
ATRS,自己注射用医薬品、テクノロジーおよび局所ゲルをベースとした製品を製造している企業
ATSG,航空貨物輸送サービスに従事する航空会社。
ATUS,ケーブル事業会社。通信、メディア、エンターテイメントのサービスを提供する。
ATVI,大手ゲーム会社
ATXI,主に手術後の中程度から重度の疼痛緩和に特化した医薬品の開発・商品化に従事
ATXS,米国の臨床段階のバイオ医薬品企業
AUB,米国で事業を展開している銀行。
AUBN,米国の銀行持株会社
AUD,多ジャンルのFM／AM局を所有・運営する米国のラジオ放送会社。
AUDC,インターネット・プロトコル(IP)上での音声提供(VoIP)、データ統合ネットワーキング製品等の設計、開発、製造、販売をしている企業
AUMN,メキシコの鉱区に注力する貴金属採鉱会社
AUPH,臨床段階の新薬開発に従事する医療品会社
AUTO,自動車のマーケティング・サービス会社
AUUD,オーディオメディア企業とオーディオメディアの消費者向けに、人工知能ベースのソフトウェア技術を開発。
AUVI,ヘルスケア関連企業。医療施設や商業オフィスで使用する感染予防向けの製品の設計、製造を行う米国の企業
AUY,南米を基盤とするカナダの金加工会社
AVA,発電・送電・配電のほか、天然ガスの生産・流通を手掛けるエネルギー会社。
AVAH,米国の持株会社。子会社を通じて、在宅介護サービス事業に従事する。
AVAV,高高度飛行体 (ソーラープレーン) システムメーカー
AVCO,米国のバイオメディカル製品の開発会社
AVD,主に農業・商業用製品を開発・販売する化学製品メーカー
AVDX,中堅企業向けの買掛金、支払等のソリューションを開発するソフトウェア企業。
AVEO,米国のバイオ医薬品メーカー
AVGO,半導体メーカー
AVGR,カテーテルベースのシステムを設計・製造・販売している会社
AVID,デジタルメディアコンテンツの制作・操作用ソフトウエアおよびシステムの開発、販売、サポートに従事するソフトウエア会社
AVLR,米国のソフトウェア企業。主に自動納税対応ソフトウェアの作成・販売に従事する。
AVNS,手術用マスク・手袋等の医療器具や滅菌包装材等の医療用品を提供
AVNT,北南米、欧州、アジア、オーストラリアで事業を展開しているポリマー製品メーカー。
AVNW,ネットワーク管理ソフトウェアの供給に従事する会社。
AVO,アボカドの製造と卸売を行う米国の企業
AVPT,マイクロソフト365データ管理ソリューションプロバイダー。
AVRO,米国のバイオ医薬品企業
AVT,IT製品流通会社
AVTE,臨床段階のバイオ医薬品会社。
AVTR,化学品、試薬、研究用備品を製造・販売している化学品メーカー。
AVTX,臨床段階のバイオ製薬会社
AVXL,臨床段階のバイオ医薬品会社
AVY,感圧接着剤メーカー
AVYA,子会社を通じて、業務提携および通信のソフトウェアによるソリューションを提供する持株会社。
AWH,米国の診断検査プロバイダー
AWI,床材、天井材をデザイン・製造する内装材メーカー
AWK,上下水道サービスの提供を行う
AWR,米カリフォルニア州にある水道会社
AWRE,ソフトウエア会社。生体認証機器業界向けにソフトウエアサービスを提供。
AX,BoflFederalBankの持株会社。
AXDX,感染性病原体の感受性抗生物質の試験のための器具の開発・商業化をしている企業
AXGN,再生医療会社。末梢神経再建および再生技術の開発・商品化に注力。製品は末梢神経の修復のために使用される。
AXL,乗用車及び商用車に使用されるシャーシ・モジュール等の製造、設計をしている企業
AXLA,米国の多因子的介入の研究開発に関するバイオテクノロジー会社
AXNX,米国の医療技術企業。身体に対する侵襲度が低い脳神経外科用の医療機器の設計・開発・商用化に従事する。
AXON,安全保障システムの開発・製造を行う会社。警察・軍隊等に向けて防衛用のソリューションを提供し、世界で事業を展開している。
AXP,金融・旅行サービス大手
AXR,子会社を通じて、不動産事業、購読フルフィルメントサービス事業、製品サービス及びその他事業、ニューススタンド流通サービス事業の4つの事業に従事。
AXS,バミューダの再保険会社
AXSM,世界各地で事業を展開しているバイオ医薬品メーカー。
AXTA,液体塗料と粉体塗料の開発・製造・販売に特化した会社
AXTI,世界各地で事業を展開する半導体メーカー。
AY,再生可能エネルギー、天然ガス、送電・輸送インフラ、水資産を所有・管理するインフラ企業。
AYI,屋内外用など総合的な照明や管理システムの設計、製造、販売に従事する照明器具メーカー。
AYLA,イスラエルのバイオインフォマティクス製薬会社
AYRO,輸送機器メーカー。専用車、自動車、電気自動車の設計・製造を手掛ける。
AYTU,泌尿器がん等の治療薬と開発・商品化に従事している特殊医薬品メーカー
AYX,米国のソフトウェア企業。
AZEK,建築製品メーカー
AZO,自動車専門部品・アクセサリー小売店
AZPN,最適化ソフトウェアソリューションのグローバルプロバイダー。
AZRE,インドの太陽光発電会社
AZYO,米国の再生医療企業。埋め込み型医療機器を使用する患者向けの製品を提供
AZZ,グローバルな発電・送電・配電市場および一般産業市場向けにサービスを提供している企業
B,世界で工業製品、鉱業技術およびソリューションを提供している企業。
